video_id,env,band,file_path,fps,duration,frame_count,resolution,swing_start_frame,swing_end_frame,split
Side-6089-1,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6089-1.mov,30.0,7.467,224,720x1280,140,223,val
Backside-8900-8,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8.mov,30.0,7.733,232,720x1280,146,231,train
Backside-8900-9,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9.mov,30.0,7.5,225,720x1280,135,224,train
Side-6086-8,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-8.mov,30.0,6.9,207,720x1280,118,206,train
Side-6086-9,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-9.mov,30.0,5.567,167,720x1280,69,166,val
Backside-8896-22,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22.mov,30.0,7.267,218,720x1280,119,217,train
Backside-8896-23,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23.mov,30.0,7.167,215,720x1280,113,213,test
Backside-8900-3,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3.mov,30.0,7.167,215,720x1280,138,214,train
Side-6086-1,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-1.mov,30.0,7.0,210,720x1280,98,198,train
Side-6086-4,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-4.mov,30.0,7.5,225,720x1280,126,224,train
Side-6086-5,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-5.mov,30.0,6.967,209,720x1280,113,208,train
Backside-8895-16,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16.mov,30.0,7.6,228,720x1280,130,227,train
Backside-8896-14,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14.mov,30.0,7.467,224,720x1280,133,223,test
Backside-8896-9,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-9.mov,30.0,6.2,186,720x1280,91,185,train
Side-6084-18,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Side-6084-18.mov,30.0,7.833,235,720x1280,3,103,train
Side-6085-10,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Side-6085-10.mov,30.0,8.533,256,720x1280,148,202,test
Side-6085-15,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Side-6085-15.mov,30.0,7.0,210,720x1280,155,209,train
Backside-8895-5,outdoor,8_10,Public Test\Ngoài trời - Outdoor\Band 8-10\Backside-8895-5.mov,30.0,8.233,247,720x1280,139,239,test
Backside-8896-8,outdoor,8_10,Public Test\Ngoài trời - Outdoor\Band 8-10\Backside-8896-8.mov,30.0,7.2,216,720x1280,118,215,train
Side-6084-3,outdoor,8_10,Public Test\Ngoài trời - Outdoor\Band 8-10\Side-6084-3.mov,30.0,8.633,259,720x1280,164,258,train
Side-6085-5,outdoor,8_10,Public Test\Ngoài trời - Outdoor\Band 8-10\Side-6085-5.mov,30.0,7.4,222,720x1280,137,221,train
