video_id,augmented,env,band,band_id,sequence_path,interpolation_mask_path,low_quality,valid_ratio,mean_visibility,longest_dropout,interpolation_ratio,split
Side-6020-15_no02,False,indoor,1_2,0,results\sequences\Side-6020-15_no02__indoor__1_2.npz,results\interp_masks\Side-6020-15_no02__indoor__1_2.npz,False,1.0,0.9150137503941854,0,0.0796969696969697,train
Side-6020-15_no03,False,indoor,1_2,0,results\sequences\Side-6020-15_no03__indoor__1_2.npz,results\interp_masks\Side-6020-15_no03__indoor__1_2.npz,False,1.0,0.9219080011049906,0,0.014848484848484849,train
Side-6020-7_no00,False,indoor,1_2,0,results\sequences\Side-6020-7_no00__indoor__1_2.npz,results\interp_masks\Side-6020-7_no00__indoor__1_2.npz,False,1.0,0.9284019668896993,0,0.011818181818181818,train
Side-6020-7_no01,False,indoor,1_2,0,results\sequences\Side-6020-7_no01__indoor__1_2.npz,results\interp_masks\Side-6020-7_no01__indoor__1_2.npz,False,1.0,0.9187242885430654,0,0.05393939393939394,val
Side-6020-7_no02,False,indoor,1_2,0,results\sequences\Side-6020-7_no02__indoor__1_2.npz,results\interp_masks\Side-6020-7_no02__indoor__1_2.npz,False,1.0,0.9210123221079508,0,0.023636363636363636,train
Side-6020-7_no03,False,indoor,1_2,0,results\sequences\Side-6020-7_no03__indoor__1_2.npz,results\interp_masks\Side-6020-7_no03__indoor__1_2.npz,False,0.99,0.913288414478302,1,0.06575757575757575,test
Side-6020-9_no00,False,indoor,1_2,0,results\sequences\Side-6020-9_no00__indoor__1_2.npz,results\interp_masks\Side-6020-9_no00__indoor__1_2.npz,False,1.0,0.9519848922888438,0,0.015151515151515152,train
Side-6020-9_no01,False,indoor,1_2,0,results\sequences\Side-6020-9_no01__indoor__1_2.npz,results\interp_masks\Side-6020-9_no01__indoor__1_2.npz,False,1.0,0.8981922268867493,0,0.10212121212121213,train
Side-6020-9_no02,False,indoor,1_2,0,results\sequences\Side-6020-9_no02__indoor__1_2.npz,results\interp_masks\Side-6020-9_no02__indoor__1_2.npz,False,0.99,0.9285570879777273,1,0.07393939393939394,val
Side-6020-9_no03,False,indoor,1_2,0,results\sequences\Side-6020-9_no03__indoor__1_2.npz,results\interp_masks\Side-6020-9_no03__indoor__1_2.npz,False,1.0,0.9252330760161082,0,0.053636363636363635,test
Backside-8767-2_no00,False,indoor,2_4,1,results\sequences\Backside-8767-2_no00__indoor__2_4.npz,results\interp_masks\Backside-8767-2_no00__indoor__2_4.npz,False,1.0,0.8531053165594736,0,0.14515151515151514,train
Backside-8767-2_no01,False,indoor,2_4,1,results\sequences\Backside-8767-2_no01__indoor__2_4.npz,results\interp_masks\Backside-8767-2_no01__indoor__2_4.npz,False,1.0,0.7707452525695165,0,0.19363636363636363,train
Backside-8767-2_no02,False,indoor,2_4,1,results\sequences\Backside-8767-2_no02__indoor__2_4.npz,results\interp_masks\Backside-8767-2_no02__indoor__2_4.npz,False,1.0,0.7677542666594187,0,0.18878787878787878,train
Backside-8767-2_no03,False,indoor,2_4,1,results\sequences\Backside-8767-2_no03__indoor__2_4.npz,results\interp_masks\Backside-8767-2_no03__indoor__2_4.npz,False,1.0,0.8558060824871063,0,0.1603030303030303,test
Backside-8767-3_no00,False,indoor,2_4,1,results\sequences\Backside-8767-3_no00__indoor__2_4.npz,results\interp_masks\Backside-8767-3_no00__indoor__2_4.npz,False,1.0,0.7912379304567972,0,0.18818181818181817,train
Backside-8767-3_no01,False,indoor,2_4,1,results\sequences\Backside-8767-3_no01__indoor__2_4.npz,results\interp_masks\Backside-8767-3_no01__indoor__2_4.npz,False,1.0,0.7955849568049113,0,0.11575757575757575,train
Backside-8767-3_no02,False,indoor,2_4,1,results\sequences\Backside-8767-3_no02__indoor__2_4.npz,results\interp_masks\Backside-8767-3_no02__indoor__2_4.npz,False,1.0,0.8536505798498789,0,0.12484848484848485,train
Backside-8767-3_no03,False,indoor,2_4,1,results\sequences\Backside-8767-3_no03__indoor__2_4.npz,results\interp_masks\Backside-8767-3_no03__indoor__2_4.npz,False,1.0,0.6735986868540446,0,0.33545454545454545,val
Side-6020-2_no00,False,indoor,2_4,1,results\sequences\Side-6020-2_no00__indoor__2_4.npz,results\interp_masks\Side-6020-2_no00__indoor__2_4.npz,False,1.0,0.9501717587312063,0,0.008484848484848486,train
Side-6020-2_no01,False,indoor,2_4,1,results\sequences\Side-6020-2_no01__indoor__2_4.npz,results\interp_masks\Side-6020-2_no01__indoor__2_4.npz,False,1.0,0.9336053828398386,0,0.023333333333333334,test
Side-6020-2_no02,False,indoor,2_4,1,results\sequences\Side-6020-2_no02__indoor__2_4.npz,results\interp_masks\Side-6020-2_no02__indoor__2_4.npz,False,1.0,0.9357040325800577,0,0.06212121212121212,train
Side-6020-2_no03,False,indoor,2_4,1,results\sequences\Side-6020-2_no03__indoor__2_4.npz,results\interp_masks\Side-6020-2_no03__indoor__2_4.npz,False,1.0,0.9394772251447042,0,0.015151515151515152,train
Side-6020-3_no00,False,indoor,2_4,1,results\sequences\Side-6020-3_no00__indoor__2_4.npz,results\interp_masks\Side-6020-3_no00__indoor__2_4.npz,False,1.0,0.93177330493927,0,0.011515151515151515,train
Side-6020-3_no01,False,indoor,2_4,1,results\sequences\Side-6020-3_no01__indoor__2_4.npz,results\interp_masks\Side-6020-3_no01__indoor__2_4.npz,False,1.0,0.9131423731644949,0,0.02484848484848485,train
Side-6020-3_no02,False,indoor,2_4,1,results\sequences\Side-6020-3_no02__indoor__2_4.npz,results\interp_masks\Side-6020-3_no02__indoor__2_4.npz,True,0.99,0.30133157471815747,1,0.9642424242424242,train
Side-6020-3_no03,False,indoor,2_4,1,results\sequences\Side-6020-3_no03__indoor__2_4.npz,results\interp_masks\Side-6020-3_no03__indoor__2_4.npz,False,1.0,0.9293651183446249,0,0.04818181818181818,train
Backside-8767-4_no00,False,indoor,4_6,2,results\sequences\Backside-8767-4_no00__indoor__4_6.npz,results\interp_masks\Backside-8767-4_no00__indoor__4_6.npz,False,1.0,0.8342602054278055,0,0.18515151515151515,val
Backside-8767-4_no01,False,indoor,4_6,2,results\sequences\Backside-8767-4_no01__indoor__4_6.npz,results\interp_masks\Backside-8767-4_no01__indoor__4_6.npz,False,1.0,0.7434779405593872,0,0.1993939393939394,train
Backside-8767-4_no02,False,indoor,4_6,2,results\sequences\Backside-8767-4_no02__indoor__4_6.npz,results\interp_masks\Backside-8767-4_no02__indoor__4_6.npz,False,1.0,0.7850678364435831,0,0.18333333333333332,train
Backside-8767-4_no03,False,indoor,4_6,2,results\sequences\Backside-8767-4_no03__indoor__4_6.npz,results\interp_masks\Backside-8767-4_no03__indoor__4_6.npz,False,1.0,0.7480666587750117,0,0.2,train
Backside-8767-5_no00,False,indoor,4_6,2,results\sequences\Backside-8767-5_no00__indoor__4_6.npz,results\interp_masks\Backside-8767-5_no00__indoor__4_6.npz,False,1.0,0.8465969264507294,0,0.1481818181818182,train
Backside-8767-5_no01,False,indoor,4_6,2,results\sequences\Backside-8767-5_no01__indoor__4_6.npz,results\interp_masks\Backside-8767-5_no01__indoor__4_6.npz,False,1.0,0.7748313248157501,0,0.18787878787878787,train
Backside-8767-5_no02,False,indoor,4_6,2,results\sequences\Backside-8767-5_no02__indoor__4_6.npz,results\interp_masks\Backside-8767-5_no02__indoor__4_6.npz,True,0.0,0.0,100,1.0,train
Backside-8767-5_no03,False,indoor,4_6,2,results\sequences\Backside-8767-5_no03__indoor__4_6.npz,results\interp_masks\Backside-8767-5_no03__indoor__4_6.npz,False,1.0,0.8014903863271078,0,0.19818181818181818,train
Backside-8767-6_no00,False,indoor,4_6,2,results\sequences\Backside-8767-6_no00__indoor__4_6.npz,results\interp_masks\Backside-8767-6_no00__indoor__4_6.npz,False,1.0,0.8278779884179434,0,0.15363636363636363,train
Backside-8767-6_no01,False,indoor,4_6,2,results\sequences\Backside-8767-6_no01__indoor__4_6.npz,results\interp_masks\Backside-8767-6_no01__indoor__4_6.npz,False,1.0,0.8617734809716543,0,0.03636363636363636,val
Backside-8767-6_no02,False,indoor,4_6,2,results\sequences\Backside-8767-6_no02__indoor__4_6.npz,results\interp_masks\Backside-8767-6_no02__indoor__4_6.npz,False,1.0,0.7856265107790629,0,0.19545454545454546,test
Backside-8767-6_no03,False,indoor,4_6,2,results\sequences\Backside-8767-6_no03__indoor__4_6.npz,results\interp_masks\Backside-8767-6_no03__indoor__4_6.npz,False,1.0,0.8303037186463674,0,0.15151515151515152,train
Side-6016-18_no00,False,indoor,4_6,2,results\sequences\Side-6016-18_no00__indoor__4_6.npz,results\interp_masks\Side-6016-18_no00__indoor__4_6.npz,False,1.0,0.915790836016337,0,0.0033333333333333335,test
Side-6016-18_no01,False,indoor,4_6,2,results\sequences\Side-6016-18_no01__indoor__4_6.npz,results\interp_masks\Side-6016-18_no01__indoor__4_6.npz,False,1.0,0.8622094293435415,0,0.17909090909090908,train
Side-6016-18_no02,False,indoor,4_6,2,results\sequences\Side-6016-18_no02__indoor__4_6.npz,results\interp_masks\Side-6016-18_no02__indoor__4_6.npz,False,1.0,0.7213995556036631,0,0.2636363636363636,train
Side-6016-18_no03,False,indoor,4_6,2,results\sequences\Side-6016-18_no03__indoor__4_6.npz,results\interp_masks\Side-6016-18_no03__indoor__4_6.npz,False,1.0,0.9393475651741028,0,0.0048484848484848485,train
Side-6020-6_no00,False,indoor,4_6,2,results\sequences\Side-6020-6_no00__indoor__4_6.npz,results\interp_masks\Side-6020-6_no00__indoor__4_6.npz,False,1.0,0.9274452924728394,0,0.028181818181818183,train
Side-6020-6_no01,False,indoor,4_6,2,results\sequences\Side-6020-6_no01__indoor__4_6.npz,results\interp_masks\Side-6020-6_no01__indoor__4_6.npz,False,1.0,0.9271153310934702,0,0.037575757575757575,val
Side-6020-6_no02,False,indoor,4_6,2,results\sequences\Side-6020-6_no02__indoor__4_6.npz,results\interp_masks\Side-6020-6_no02__indoor__4_6.npz,False,1.0,0.9340383211771647,0,0.016666666666666666,train
Side-6020-6_no03,False,indoor,4_6,2,results\sequences\Side-6020-6_no03__indoor__4_6.npz,results\interp_masks\Side-6020-6_no03__indoor__4_6.npz,False,1.0,0.9264156619707743,0,0.03909090909090909,test
Side-6020-8_no00,False,indoor,4_6,2,results\sequences\Side-6020-8_no00__indoor__4_6.npz,results\interp_masks\Side-6020-8_no00__indoor__4_6.npz,False,1.0,0.9353886246681213,0,0.017272727272727273,train
Side-6020-8_no01,False,indoor,4_6,2,results\sequences\Side-6020-8_no01__indoor__4_6.npz,results\interp_masks\Side-6020-8_no01__indoor__4_6.npz,False,1.0,0.9248934388160706,0,0.02727272727272727,train
Side-6020-8_no02,False,indoor,4_6,2,results\sequences\Side-6020-8_no02__indoor__4_6.npz,results\interp_masks\Side-6020-8_no02__indoor__4_6.npz,False,1.0,0.9494526783625284,0,0.012424242424242424,train
Side-6020-8_no03,False,indoor,4_6,2,results\sequences\Side-6020-8_no03__indoor__4_6.npz,results\interp_masks\Side-6020-8_no03__indoor__4_6.npz,False,1.0,0.935741146405538,0,0.024242424242424242,train
Backside-8751-3_no00,False,indoor,6_8,3,results\sequences\Backside-8751-3_no00__indoor__6_8.npz,results\interp_masks\Backside-8751-3_no00__indoor__6_8.npz,False,1.0,0.8580933113892873,0,0.14666666666666667,test
Backside-8751-3_no01,False,indoor,6_8,3,results\sequences\Backside-8751-3_no01__indoor__6_8.npz,results\interp_masks\Backside-8751-3_no01__indoor__6_8.npz,False,1.0,0.8787366151809692,0,0.13272727272727272,train
Backside-8751-3_no02,False,indoor,6_8,3,results\sequences\Backside-8751-3_no02__indoor__6_8.npz,results\interp_masks\Backside-8751-3_no02__indoor__6_8.npz,False,1.0,0.8580933113892873,0,0.14666666666666667,train
Backside-8751-3_no03,False,indoor,6_8,3,results\sequences\Backside-8751-3_no03__indoor__6_8.npz,results\interp_masks\Backside-8751-3_no03__indoor__6_8.npz,False,1.0,0.8708936671415964,0,0.1478787878787879,val
Backside-8751-5_no00,False,indoor,6_8,3,results\sequences\Backside-8751-5_no00__indoor__6_8.npz,results\interp_masks\Backside-8751-5_no00__indoor__6_8.npz,False,1.0,0.8600506981213888,0,0.15303030303030302,train
Backside-8751-5_no01,False,indoor,6_8,3,results\sequences\Backside-8751-5_no01__indoor__6_8.npz,results\interp_masks\Backside-8751-5_no01__indoor__6_8.npz,False,1.0,0.8462158044179281,0,0.10363636363636364,train
Backside-8751-5_no02,False,indoor,6_8,3,results\sequences\Backside-8751-5_no02__indoor__6_8.npz,results\interp_masks\Backside-8751-5_no02__indoor__6_8.npz,False,1.0,0.8631315430005392,0,0.07151515151515152,train
Backside-8751-5_no03,False,indoor,6_8,3,results\sequences\Backside-8751-5_no03__indoor__6_8.npz,results\interp_masks\Backside-8751-5_no03__indoor__6_8.npz,False,1.0,0.8565585513909658,0,0.14909090909090908,train
Backside-8751-6_no00,False,indoor,6_8,3,results\sequences\Backside-8751-6_no00__indoor__6_8.npz,results\interp_masks\Backside-8751-6_no00__indoor__6_8.npz,False,1.0,0.8496550420920054,0,0.15757575757575756,train
Backside-8751-6_no01,False,indoor,6_8,3,results\sequences\Backside-8751-6_no01__indoor__6_8.npz,results\interp_masks\Backside-8751-6_no01__indoor__6_8.npz,False,1.0,0.8552979926268259,0,0.15454545454545454,val
Backside-8751-6_no02,False,indoor,6_8,3,results\sequences\Backside-8751-6_no02__indoor__6_8.npz,results\interp_masks\Backside-8751-6_no02__indoor__6_8.npz,False,1.0,0.6697154094775518,0,0.4218181818181818,train
Backside-8751-6_no03,False,indoor,6_8,3,results\sequences\Backside-8751-6_no03__indoor__6_8.npz,results\interp_masks\Backside-8751-6_no03__indoor__6_8.npz,False,1.0,0.8575971027215322,0,0.12242424242424242,train
Side-6016-4_no00,False,indoor,6_8,3,results\sequences\Side-6016-4_no00__indoor__6_8.npz,results\interp_masks\Side-6016-4_no00__indoor__6_8.npz,False,1.0,0.9387720624605814,0,0.0,train
Side-6016-4_no01,False,indoor,6_8,3,results\sequences\Side-6016-4_no01__indoor__6_8.npz,results\interp_masks\Side-6016-4_no01__indoor__6_8.npz,False,1.0,0.9614755908648173,0,0.018484848484848486,train
Side-6016-4_no02,False,indoor,6_8,3,results\sequences\Side-6016-4_no02__indoor__6_8.npz,results\interp_masks\Side-6016-4_no02__indoor__6_8.npz,False,1.0,0.8873645762602488,0,0.1,test
Side-6016-4_no03,False,indoor,6_8,3,results\sequences\Side-6016-4_no03__indoor__6_8.npz,results\interp_masks\Side-6016-4_no03__indoor__6_8.npz,False,1.0,0.940652052561442,0,0.0,train
Side-6016-5_no00,False,indoor,6_8,3,results\sequences\Side-6016-5_no00__indoor__6_8.npz,results\interp_masks\Side-6016-5_no00__indoor__6_8.npz,False,1.0,0.9255852202574412,0,0.008181818181818182,train
Side-6016-5_no01,False,indoor,6_8,3,results\sequences\Side-6016-5_no01__indoor__6_8.npz,results\interp_masks\Side-6016-5_no01__indoor__6_8.npz,False,1.0,0.9186770915985107,0,0.02909090909090909,val
Side-6016-5_no02,False,indoor,6_8,3,results\sequences\Side-6016-5_no02__indoor__6_8.npz,results\interp_masks\Side-6016-5_no02__indoor__6_8.npz,False,1.0,0.9605980515480042,0,0.02,train
Side-6016-5_no03,False,indoor,6_8,3,results\sequences\Side-6016-5_no03__indoor__6_8.npz,results\interp_masks\Side-6016-5_no03__indoor__6_8.npz,False,1.0,0.9204250276088715,0,0.012727272727272728,train
Side-6016-6_no00,False,indoor,6_8,3,results\sequences\Side-6016-6_no00__indoor__6_8.npz,results\interp_masks\Side-6016-6_no00__indoor__6_8.npz,False,1.0,0.9277064005533854,0,0.006666666666666667,train
Side-6016-6_no01,False,indoor,6_8,3,results\sequences\Side-6016-6_no01__indoor__6_8.npz,results\interp_masks\Side-6016-6_no01__indoor__6_8.npz,False,0.95,0.8926114837328593,5,0.13424242424242425,train
Side-6016-6_no02,False,indoor,6_8,3,results\sequences\Side-6016-6_no02__indoor__6_8.npz,results\interp_masks\Side-6016-6_no02__indoor__6_8.npz,False,1.0,0.8853939473628998,0,0.0903030303030303,train
Side-6016-6_no03,False,indoor,6_8,3,results\sequences\Side-6016-6_no03__indoor__6_8.npz,results\interp_masks\Side-6016-6_no03__indoor__6_8.npz,True,0.0,0.0,100,1.0,train
Backside-8748-3_no00,False,indoor,8_10,4,results\sequences\Backside-8748-3_no00__indoor__8_10.npz,results\interp_masks\Backside-8748-3_no00__indoor__8_10.npz,False,1.0,0.8516315519809723,0,0.10212121212121213,train
Backside-8748-3_no01,False,indoor,8_10,4,results\sequences\Backside-8748-3_no01__indoor__8_10.npz,results\interp_masks\Backside-8748-3_no01__indoor__8_10.npz,False,1.0,0.8766787946224213,0,0.10333333333333333,val
Backside-8748-3_no02,False,indoor,8_10,4,results\sequences\Backside-8748-3_no02__indoor__8_10.npz,results\interp_masks\Backside-8748-3_no02__indoor__8_10.npz,False,1.0,0.8435939053694407,0,0.05393939393939394,train
Backside-8748-3_no03,False,indoor,8_10,4,results\sequences\Backside-8748-3_no03__indoor__8_10.npz,results\interp_masks\Backside-8748-3_no03__indoor__8_10.npz,False,1.0,0.8459329108397166,0,0.12666666666666668,train
Backside-8748-5_no00,False,indoor,8_10,4,results\sequences\Backside-8748-5_no00__indoor__8_10.npz,results\interp_masks\Backside-8748-5_no00__indoor__8_10.npz,False,1.0,0.8116147716840109,0,0.13121212121212122,train
Backside-8748-5_no01,False,indoor,8_10,4,results\sequences\Backside-8748-5_no01__indoor__8_10.npz,results\interp_masks\Backside-8748-5_no01__indoor__8_10.npz,False,1.0,0.8448771039644877,0,0.09090909090909091,train
Backside-8748-5_no02,False,indoor,8_10,4,results\sequences\Backside-8748-5_no02__indoor__8_10.npz,results\interp_masks\Backside-8748-5_no02__indoor__8_10.npz,False,1.0,0.8589141766230265,0,0.046363636363636364,test
Backside-8748-5_no03,False,indoor,8_10,4,results\sequences\Backside-8748-5_no03__indoor__8_10.npz,results\interp_masks\Backside-8748-5_no03__indoor__8_10.npz,False,1.0,0.8871079385280609,0,0.048484848484848485,test
Side-5999-1_no00,False,indoor,8_10,4,results\sequences\Side-5999-1_no00__indoor__8_10.npz,results\interp_masks\Side-5999-1_no00__indoor__8_10.npz,False,1.0,0.8559540013472239,0,0.15787878787878787,train
Side-5999-1_no01,False,indoor,8_10,4,results\sequences\Side-5999-1_no01__indoor__8_10.npz,results\interp_masks\Side-5999-1_no01__indoor__8_10.npz,False,1.0,0.9547488987445831,0,0.03090909090909091,train
Side-5999-1_no02,False,indoor,8_10,4,results\sequences\Side-5999-1_no02__indoor__8_10.npz,results\interp_masks\Side-5999-1_no02__indoor__8_10.npz,False,1.0,0.9123964508374532,0,0.0048484848484848485,train
Side-5999-1_no03,False,indoor,8_10,4,results\sequences\Side-5999-1_no03__indoor__8_10.npz,results\interp_masks\Side-5999-1_no03__indoor__8_10.npz,False,1.0,0.9519074757893881,0,0.03515151515151515,train
Side-6007-1_no00,False,indoor,8_10,4,results\sequences\Side-6007-1_no00__indoor__8_10.npz,results\interp_masks\Side-6007-1_no00__indoor__8_10.npz,False,1.0,0.8642897804578146,0,0.12636363636363637,train
Side-6007-1_no01,False,indoor,8_10,4,results\sequences\Side-6007-1_no01__indoor__8_10.npz,results\interp_masks\Side-6007-1_no01__indoor__8_10.npz,False,1.0,0.9023001988728842,0,0.08484848484848485,train
Side-6007-1_no02,False,indoor,8_10,4,results\sequences\Side-6007-1_no02__indoor__8_10.npz,results\interp_masks\Side-6007-1_no02__indoor__8_10.npz,False,1.0,0.8573209742705027,0,0.2012121212121212,train
Side-6007-1_no03,False,indoor,8_10,4,results\sequences\Side-6007-1_no03__indoor__8_10.npz,results\interp_masks\Side-6007-1_no03__indoor__8_10.npz,False,1.0,0.853967030843099,0,0.12757575757575756,test
Backside-8897-2_no00,False,outdoor,1_2,0,results\sequences\Backside-8897-2_no00__outdoor__1_2.npz,results\interp_masks\Backside-8897-2_no00__outdoor__1_2.npz,False,1.0,0.8231742282708486,0,0.14666666666666667,train
Backside-8897-2_no01,False,outdoor,1_2,0,results\sequences\Backside-8897-2_no01__outdoor__1_2.npz,results\interp_masks\Backside-8897-2_no01__outdoor__1_2.npz,False,1.0,0.8277167876561483,0,0.1303030303030303,train
Backside-8897-2_no02,False,outdoor,1_2,0,results\sequences\Backside-8897-2_no02__outdoor__1_2.npz,results\interp_masks\Backside-8897-2_no02__outdoor__1_2.npz,False,1.0,0.8269302745660146,0,0.1593939393939394,train
Backside-8897-2_no03,False,outdoor,1_2,0,results\sequences\Backside-8897-2_no03__outdoor__1_2.npz,results\interp_masks\Backside-8897-2_no03__outdoor__1_2.npz,False,1.0,0.8278806110223135,0,0.15515151515151515,train
Backside-8900-11_no00,False,outdoor,1_2,0,results\sequences\Backside-8900-11_no00__outdoor__1_2.npz,results\interp_masks\Backside-8900-11_no00__outdoor__1_2.npz,False,1.0,0.8143052856127421,0,0.12121212121212122,train
Backside-8900-11_no01,False,outdoor,1_2,0,results\sequences\Backside-8900-11_no01__outdoor__1_2.npz,results\interp_masks\Backside-8900-11_no01__outdoor__1_2.npz,False,1.0,0.8368780016899109,0,0.08757575757575757,train
Backside-8900-11_no02,False,outdoor,1_2,0,results\sequences\Backside-8900-11_no02__outdoor__1_2.npz,results\interp_masks\Backside-8900-11_no02__outdoor__1_2.npz,False,1.0,0.8203416268030802,0,0.13424242424242425,val
Backside-8900-11_no03,False,outdoor,1_2,0,results\sequences\Backside-8900-11_no03__outdoor__1_2.npz,results\interp_masks\Backside-8900-11_no03__outdoor__1_2.npz,False,1.0,0.825649360815684,0,0.09696969696969697,val
Side-6088-2_no00,False,outdoor,1_2,0,results\sequences\Side-6088-2_no00__outdoor__1_2.npz,results\interp_masks\Side-6088-2_no00__outdoor__1_2.npz,False,1.0,0.9233263631661733,0,0.07424242424242425,train
Side-6088-2_no01,False,outdoor,1_2,0,results\sequences\Side-6088-2_no01__outdoor__1_2.npz,results\interp_masks\Side-6088-2_no01__outdoor__1_2.npz,False,1.0,0.9269103507200877,0,0.03848484848484848,train
Side-6088-2_no02,False,outdoor,1_2,0,results\sequences\Side-6088-2_no02__outdoor__1_2.npz,results\interp_masks\Side-6088-2_no02__outdoor__1_2.npz,False,1.0,0.9435835580031077,0,0.041212121212121214,train
Side-6088-2_no03,False,outdoor,1_2,0,results\sequences\Side-6088-2_no03__outdoor__1_2.npz,results\interp_masks\Side-6088-2_no03__outdoor__1_2.npz,False,1.0,0.9325418869654337,0,0.05121212121212121,train
Side-6089-1_no00,False,outdoor,1_2,0,results\sequences\Side-6089-1_no00__outdoor__1_2.npz,results\interp_masks\Side-6089-1_no00__outdoor__1_2.npz,False,1.0,0.9706636865933737,0,0.01,train
Side-6089-1_no01,False,outdoor,1_2,0,results\sequences\Side-6089-1_no01__outdoor__1_2.npz,results\interp_masks\Side-6089-1_no01__outdoor__1_2.npz,False,1.0,0.972864439090093,0,0.0,test
Side-6089-1_no02,False,outdoor,1_2,0,results\sequences\Side-6089-1_no02__outdoor__1_2.npz,results\interp_masks\Side-6089-1_no02__outdoor__1_2.npz,False,1.0,0.9788051644961039,0,0.01,train
Side-6089-1_no03,False,outdoor,1_2,0,results\sequences\Side-6089-1_no03__outdoor__1_2.npz,results\interp_masks\Side-6089-1_no03__outdoor__1_2.npz,False,1.0,0.9203207691510519,0,0.03363636363636364,train
Backside-8900-8_no00,False,outdoor,2_4,1,results\sequences\Backside-8900-8_no00__outdoor__2_4.npz,results\interp_masks\Backside-8900-8_no00__outdoor__2_4.npz,False,1.0,0.8248371183872223,0,0.10151515151515152,val
Backside-8900-8_no01,False,outdoor,2_4,1,results\sequences\Backside-8900-8_no01__outdoor__2_4.npz,results\interp_masks\Backside-8900-8_no01__outdoor__2_4.npz,False,1.0,0.8300289611021677,0,0.09696969696969697,train
Backside-8900-8_no02,False,outdoor,2_4,1,results\sequences\Backside-8900-8_no02__outdoor__2_4.npz,results\interp_masks\Backside-8900-8_no02__outdoor__2_4.npz,False,1.0,0.8215750257174174,0,0.1190909090909091,train
Backside-8900-8_no03,False,outdoor,2_4,1,results\sequences\Backside-8900-8_no03__outdoor__2_4.npz,results\interp_masks\Backside-8900-8_no03__outdoor__2_4.npz,False,1.0,0.8360633154710134,0,0.07606060606060606,train
Backside-8900-9_no00,False,outdoor,2_4,1,results\sequences\Backside-8900-9_no00__outdoor__2_4.npz,results\interp_masks\Backside-8900-9_no00__outdoor__2_4.npz,False,1.0,0.8146084149678549,0,0.14757575757575758,val
